省份,城市,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日新增治愈
江苏,苏州,2020-06-21 11:12:36,0,87,87,0,0,0
江苏,南京,2020-06-21 11:12:36,0,93,93,0,0,0
江苏,无锡,2020-06-21 11:12:36,0,55,55,0,0,0
江苏,徐州,2020-06-21 11:12:36,0,79,79,0,0,0
江苏,连云港,2020-06-21 11:12:36,0,48,48,0,0,0
江苏,淮安,2020-06-21 11:12:36,0,66,66,0,0,0
江苏,镇江,2020-06-21 11:12:36,0,12,12,0,0,0
江苏,常州,2020-06-21 11:12:36,0,51,51,0,0,0
江苏,扬州,2020-06-21 11:12:36,0,23,23,0,0,0
江苏,盐城,2020-06-21 11:12:36,0,27,27,0,0,0
江苏,泰州,2020-06-21 11:12:36,0,37,37,0,0,0
河南,漯河,2020-06-21 11:12:36,0,36,36,0,0,0
河南,境外输入,2020-06-21 11:12:36,0,3,3,0,0,0
河南,地区待确认,2020-06-21 11:12:36,0,0,0,0,0,0
河南,周口,2020-06-21 11:12:36,0,76,75,1,0,0
河南,南阳,2020-06-21 11:12:36,0,156,153,3,0,0
河南,信阳,2020-06-21 11:12:36,0,274,272,2,0,0
河南,郑州,2020-06-21 11:12:36,0,157,152,5,0,0
河南,济源示范区,2020-06-21 11:12:36,0,5,5,0,0,0
河南,安阳,2020-06-21 11:12:36,0,53,53,0,0,0
河南,新乡,2020-06-21 11:12:36,0,57,54,3,0,0
河南,许昌,2020-06-21 11:12:36,0,39,38,1,0,0
河南,商丘,2020-06-21 11:12:36,0,91,88,3,0,0
河南,驻马店,2020-06-21 11:12:36,0,139,139,0,0,0
河南,焦作,2020-06-21 11:12:36,0,32,31,1,0,0
河南,开封,2020-06-21 11:12:36,0,26,26,0,0,0
河南,平顶山,2020-06-21 11:12:36,0,58,57,1,0,0
河南,濮阳,2020-06-21 11:12:36,0,17,17,0,0,0
河南,洛阳,2020-06-21 11:12:36,0,31,30,1,0,0
河南,鹤壁,2020-06-21 11:12:36,0,19,19,0,0,0
河南,三门峡,2020-06-21 11:12:36,0,7,6,1,0,0
广西,境外输入,2020-06-21 11:12:36,0,2,2,0,0,0
广西,北海,2020-06-21 11:12:36,0,44,43,1,0,0
广西,防城港,2020-06-21 11:12:36,0,19,19,0,0,0
广西,来宾,2020-06-21 11:12:36,0,11,11,0,0,0
广西,柳州,2020-06-21 11:12:36,0,24,24,0,0,0
广西,南宁,2020-06-21 11:12:36,0,55,55,0,0,0
广西,河池,2020-06-21 11:12:36,0,28,27,1,0,0
广西,桂林,2020-06-21 11:12:36,0,32,32,0,0,0
广西,玉林,2020-06-21 11:12:36,0,11,11,0,0,0
广西,钦州,2020-06-21 11:12:36,0,8,8,0,0,0
广西,贵港,2020-06-21 11:12:36,0,8,8,0,0,0
广西,贺州,2020-06-21 11:12:36,0,4,4,0,0,0
广西,百色,2020-06-21 11:12:36,0,3,3,0,0,0
广西,梧州,2020-06-21 11:12:36,0,5,5,0,0,0
澳门,地区待确认,2020-06-21 11:12:36,0,45,45,0,0,0
云南,境外输入,2020-06-21 11:12:36,0,11,11,0,0,0
云南,曲靖,2020-06-21 11:12:36,0,13,13,0,0,0
云南,德宏州,2020-06-21 11:12:36,0,5,5,0,0,0
云南,昆明,2020-06-21 11:12:36,0,53,53,0,0,0
云南,保山市,2020-06-21 11:12:36,0,9,9,0,0,0
云南,玉溪,2020-06-21 11:12:36,0,14,13,1,0,0
云南,红河,2020-06-21 11:12:36,0,9,9,0,0,0
云南,昭通市,2020-06-21 11:12:36,0,25,25,0,0,0
云南,大理,2020-06-21 11:12:36,0,13,13,0,0,0
云南,西双版纳州,2020-06-21 11:12:36,0,15,14,1,0,0
云南,文山州,2020-06-21 11:12:36,0,2,2,0,0,0
云南,普洱,2020-06-21 11:12:36,0,4,4,0,0,0
云南,楚雄州,2020-06-21 11:12:36,0,4,4,0,0,0
云南,丽江市,2020-06-21 11:12:36,0,7,7,0,0,0
云南,临沧,2020-06-21 11:12:36,0,1,1,0,0,0
西藏,拉萨,2020-06-21 11:12:36,0,1,1,0,0,0
江西,新余,2020-06-21 11:12:36,0,129,129,0,0,0
江西,赣州,2020-06-21 11:12:36,0,74,73,1,0,0
江西,九江,2020-06-21 11:12:36,0,116,116,0,0,0
江西,境外输入,2020-06-21 11:12:36,0,2,2,0,0,0
江西,南昌,2020-06-21 11:12:36,0,230,230,0,0,0
江西,上饶,2020-06-21 11:12:36,0,123,123,0,0,0
江西,抚州,2020-06-21 11:12:36,0,72,72,0,0,0
江西,吉安,2020-06-21 11:12:36,0,22,22,0,0,0
江西,萍乡,2020-06-21 11:12:36,0,33,33,0,0,0
江西,宜春,2020-06-21 11:12:36,0,106,106,0,0,0
江西,鹰潭,2020-06-21 11:12:36,0,18,18,0,0,0
江西,景德镇,2020-06-21 11:12:36,0,6,6,0,0,0
江西,赣江新区,2020-06-21 11:12:36,0,1,1,0,0,0
吉林,吉林,2020-06-21 11:12:36,0,48,47,1,0,0
吉林,境外输入,2020-06-21 11:12:36,0,19,19,0,0,0
吉林,通化,2020-06-21 11:12:36,0,6,6,0,0,0
吉林,长春,2020-06-21 11:12:36,0,45,45,0,0,0
吉林,白城,2020-06-21 11:12:36,0,1,1,0,0,0
吉林,四平,2020-06-21 11:12:36,0,15,14,1,0,0
吉林,公主岭,2020-06-21 11:12:36,0,6,6,0,0,0
